,Day 3,Day 5,Day 10,Day 12,Day 14,Day 18,Day 22,Day 23,Day 26,Day 27,Day 28,Day 30,Day 38,Day 39,Day 40,Day 41,Day 45
sp|P01857|IGHG1_HUMAN,0.346577797,0.36655386,0.209545172,0.141316235,0.152028105,0.152553228,0.153326851,0.16612794,0.157191009,0.16785396,0.160322847,0.137884887,0.160103815,0.12663741,0.135849622,0.152274313,0.136335164
sp|P12269|IMDH2_CRIGR,0.000375197,0.00041529,0.000596309,0.000630358,0.00059727,0.000804844,0.000799785,0.000884272,0.000770342,0.000834361,0.000740963,0.000533298,0.000648304,0.000699454,0.000740672,0.000731635,0.000601603
sp|P35950|LDLR_CRIGR;tr|G3HVQ6|G3HVQ6_CRIGR;tr|G3HVQ5|G3HVQ5_CRIGR,7.09308E-05,8.93598E-05,0.000166933,0.000166234,0.000151777,0.000153444,0.000157673,0.000136696,0.000182654,0.000170021,8.35339E-05,0.000239016,0.000253114,0.000165448,0.000250625,0.000263443,0.00037843
sp|P83337|OFUT1_CRIGR,3.02614E-05,1.39647E-05,1.06738E-05,1.33537E-05,3.47616E-05,4.31514E-05,2.41795E-05,0,3.69822E-05,1.34406E-05,6.12745E-05,3.67941E-05,8.57145E-06,6.88738E-05,2.51712E-05,9.84268E-06,5.59885E-05
tr|A4URF0|A4URF0_CRIGR;tr|G3I474|G3I474_CRIGR,0.000108028,0.000131185,1.15367E-05,0,0,0,0,0,6.98861E-06,9.76412E-06,4.51541E-05,1.8484E-05,2.01508E-05,8.50119E-06,3.16187E-05,0,0
tr|C0SSX9|C0SSX9_CRIGR,0,0,0,4.19333E-06,1.57539E-06,7.61245E-07,0,3.62463E-06,0,0,0,0,6.34813E-07,0,0,0,0
tr|F7J0L2|F7J0L2_CRIGR,0.000107749,8.15649E-05,0.000549374,0.00037119,0.000496427,0.000224929,0.000144628,0.0003183,0.000182566,0.000150521,0.0002415,0.000268752,0.000275734,0.000261628,0.000265549,0.000163886,0.000103812
tr|G3GR61|G3GR61_CRIGR,0,0,8.46227E-06,1.03213E-05,0,2.0887E-06,2.24054E-05,1.86886E-05,7.55475E-05,2.53606E-06,5.32812E-05,1.97339E-06,2.71598E-05,8.98313E-05,1.24282E-05,6.52281E-06,0
tr|G3GR64|G3GR64_CRIGR,0.000946442,0.001009962,0.000446242,0.000305668,0.000342041,0.000391524,0.000400667,0.000430827,0.00033512,0.000421487,0.000419625,0.000331584,0.000365091,0.000327298,0.000349701,0.000340972,0.000477803
tr|G3GR69|G3GR69_CRIGR,0,0,0,1.44918E-06,0,3.29234E-06,6.60533E-06,2.53844E-06,0,0,0,0,0,0,0,0,0
tr|G3GR71|G3GR71_CRIGR,0,0,3.60496E-06,8.26624E-06,2.15821E-06,7.43106E-06,3.14699E-06,0,0,6.40534E-06,0,0,0,2.94964E-06,0,4.23285E-06,0
tr|G3GR73|G3GR73_CRIGR;tr|G3ILV6|G3ILV6_CRIGR,0.00055505,0.000515168,0.000589462,0.000541361,0.000505202,0.00046907,0.000284028,0.000225239,0.000249058,0.000243788,0.000320517,0.000436896,0.000355717,0.000578528,0.000389456,0.000511919,0.000629544
tr|G3GR85|G3GR85_CRIGR,7.93343E-07,0,0,5.89349E-07,0,7.51979E-07,0,0,7.61585E-06,0,1.81331E-06,0,0,2.70276E-05,4.21177E-06,0,7.85939E-07
tr|G3GR86|G3GR86_CRIGR,7.04297E-07,0,9.87601E-06,1.95905E-05,1.68781E-06,1.48724E-05,1.74922E-05,3.00343E-05,2.7427E-05,1.67881E-05,1.60945E-05,2.93386E-06,2.67398E-05,1.21163E-05,1.53102E-05,1.97283E-05,6.37355E-06
tr|G3GR89|G3GR89_CRIGR,0,0,9.87743E-06,0,0,2.03063E-06,1.811E-06,1.22027E-06,1.63538E-06,0,0,0,1.41629E-06,2.06552E-06,0,0,0
tr|G3GR90|G3GR90_CRIGR,0.000200684,0.000252775,0.000206816,0.000175534,0.000151102,0.000154137,0.000123121,6.5374E-05,9.58515E-05,0.000111867,0.000100659,0.000178371,0.000100153,0.000119849,0.000119861,0.000133698,9.5411E-05
tr|G3GRA0|G3GRA0_CRIGR,1.72724E-05,2.25967E-05,3.49815E-05,2.47374E-05,3.38629E-05,3.57909E-06,3.53482E-06,2.176E-06,4.03696E-06,4.50276E-06,4.2249E-06,5.34244E-06,4.95643E-06,1.34486E-06,0,0,0
